No;Periodo;Estación;DBO;PO4;PO3;Chla;Chlb;E.coli;Clif.;Sal;T;Cond;pH;O2;TSD;NO2;NO3;NH4;SST;ST
1;S;E1;3,3;0,6;0,5;15,3;1,7;107,7;280,3;31,8;30;52,8;8,2;7;52,9;0,1;0,1;0;128;11601,9
2;S;E2;2,3;1,3;0,6;18,9;2,6;128;367;32;30,5;51,7;8,1;7,1;51,2;0,2;0,4;0;162,4;13369
3;S;E3;3,7;1,4;1,8;20,1;1,4;133,3;383,3;31,4;31,2;50;8,3;9,2;50,2;0,1;0,2;0;118,1;12357,1
4;S;E4;2,2;14,9;4,5;21,5;3,5;193;513,3;1,9;32,2;2,6;7,3;5,6;2,8;0,4;0,4;0,2;135,4;740,6
5;S;E5;3,2;0,8;0,9;9,9;2,5;138;468,7;33,7;33;54,3;8,3;9,2;54,4;0,1;0,2;0,2;156,8;14418,9
6;S;E6;2,6;1;1,3;5,1;1,5;85,7;609,7;33,6;32,2;53,7;8,4;8;53,6;0,1;0,2;0,2;105,4;15267,2
7;L;E1;3,7;0,3;0,5;13,3;1,9;87,3;323,3;25,2;28,7;38,5;8,7;6,1;38,3;0;0;0;69,6;352,4
8;L;E2;2,9;0,2;0,4;15,8;1,9;153,3;456,7;23,4;29,2;35,9;8,2;5,5;35,8;0;0;0;67,2;475,2
9;L;E3;3,2;0,7;0,8;15,2;1;130,7;403,3;23,6;30,5;42,4;8,7;7,6;42,3;0;0;0;90,6;487,1
10;L;E4;2,3;1,1;1,2;13,1;1,9;143,3;890;3,1;32,1;847,3;8,3;8,7;641,9;0,2;0,1;0;109,7;328,9
11;L;E5;3;0,7;1;8,9;1,7;79,3;593,3;29,6;32;43,5;8,6;6,4;43,4;0;0;0;108,5;492,6
12;L;E6;3,1;1;1,3;5,6;1,1;142,7;420;31,9;31,4;46,9;7,9;5,2;46,5;0,3;0,1;0;52,7;399
