Cod.;MUESTREO;TRAMO;LLUVIA;Batds;Lpthy;Trcry;Prbtd;Cmlbt;Thrld;Lchln;Trpds
AM1;M1;A;P1;24;4;5;4;0;1;0;0
AM2;M2;A;P1;33;4;1;5;0;0;0;0
AM3;M3;A;P2;22;10;0;0;0;0;0;0
AM4;M4;A;P2;20;8;0;2;0;0;0;0
AM5;M5;A;P2;52;7;0;2;0;0;0;0
AM6;M6;A;P2;55;6;16;3;0;0;2;0
AM7;M7;A;P2;45;6;8;4;0;0;0;0
AM8;M8;A;P1;13;2;12;19;0;0;2;0
AM9;M9;A;P1;60;0;8;33;0;0;0;0
AM10;M10;A;P1;25;10;0;6;0;1;1;0
BM1;M1;B;P1;7;7;1;1;1;3;0;0
BM2;M2;B;P1;18;32;2;5;0;3;0;0
BM3;M3;B;P2;6;31;3;5;0;4;0;0
BM4;M4;B;P2;47;155;0;0;0;0;2;0
BM5;M5;B;P2;5;21;2;0;0;0;0;0
BM6;M6;B;P2;45;7;7;1;0;1;7;0
BM7;M7;B;P2;29;6;12;0;0;0;2;0
BM8;M8;B;P1;9;1;17;0;0;0;0;0
BM9;M9;B;P1;73;6;15;1;0;1;2;0
BM10;M10;B;P1;10;2;0;0;0;1;1;0
CM1;M1;C;P1;8;0;199;1;0;12;0;0
CM2;M2;C;P1;5;140;65;1;0;7;0;0
CM3;M3;C;P1;0;16;5;0;0;8;0;0
CM4;M4;C;P2;11;70;9;3;38;3;0;1
CM5;M5;C;P2;6;14;2;0;13;1;0;1
CM6;M6;C;P2;4;0;7;0;2;0;0;0
CM7;M7;C;P2;1;1;5;0;3;0;0;0
CM10;M10;C;P1;15;108;10;5;13;2;0;0
