"";"Familia";"Dieta";"C.exp";"C.tot";"L.nar";"A.nar";"Com";"L.tar";"C.al";"L.rec";"L.tot"
"1";"THRAUPIDAE";"F";13,2;16,4;10,3;5,6;11,9;23,7;84;66,5;138,3
"2";"THRAUPIDAE";"F";18,9;21,7;14,4;9,4;11,4;25,4;92,4;70,3;143,1
"3";"THRAUPIDAE";"F";10,4;13,6;7,8;3,6;7,8;14;62;47,9;98,1
"4";"THRAUPIDAE";"F";15,5;18,8;11,4;9,1;12,7;23,1;86,2;56,7;124,6
"5";"THRAUPIDAE";"F";20,2;21,6;14,3;4,6;10,3;28,8;85,7;70,1;148,1
"6";"THRAUPIDAE";"F";9,9;13,2;7,7;4,7;6,2;18;62,7;50,7;100,5
"7";"THRAUPIDAE";"F";9,6;12,2;7,2;5,1;7,6;17,9;76,4;59,3;106,7
"8";"THRAUPIDAE";"F";13,4;15,1;7,9;6,9;9,9;20;81,1;69,8;120,6
"9";"THRAUPIDAE";"F";12,5;14,7;9,2;4;7,2;11,9;63,1;56,8;91,1
"10";"THRAUPIDAE";"F";16,2;21,2;11,2;7,8;10,9;21,2;93,5;85,1;153,4
"11";"THRAUPIDAE";"F";10,1;13,9;8,1;3,7;4,9;19,8;63,4;43,7;83,2
"12";"THRAUPIDAE";"F";13,1;17,9;11,1;7,4;10,3;24,3;81,7;53,1;144,1
"13";"THRAUPIDAE";"I";12,3;13,2;9,4;3,2;4,6;16,1;32,8;49,8;80,3
"14";"THRAUPIDAE";"I";11,3;14,3;8,4;5,9;8,4;24;61,8;62;122,1
"15";"THRAUPIDAE";"I";12,1;16;9,4;6,4;8,7;21,9;77,2;65,3;120
"16";"THRAUPIDAE";"I";13;16,4;9,9;6,7;8,9;18,9;75,3;9,1;117,4
"17";"THRAUPIDAE";"I";12,2;15,6;9,4;4,5;7;21,2;71,4;49,9;105,7
"18";"THRAUPIDAE";"I";18,4;21;15,3;3,2;27,3;9,4;55,7;37,2;73,5
"19";"TROGLODITYDAE";"I";18,7;20,5;13,8;3,6;7,8;27,9;55,3;27,9;77,4
"20";"TROGLODITYDAE";"I";16,6;20,2;13,1;3,4;6,3;22,1;56,8;41,4;87,5
"21";"TROGLODITYDAE";"I";7,5;20,1;12,4;4,2;8,6;24,1;65,8;54,2;97,4
"22";"TROGLODITYDAE";"I";14,2;17,9;11;3,9;8,2;24,9;51,7;31,9;67,5
"23";"TROGLODITYDAE";"I";14,9;18,5;11,5;3,7;7,1;24,6;53,3;32,7;77,2
"24";"TROGLODITYDAE";"I";15,1;18,2;11,2;4,5;8,7;20,7;63,3;69;124,8
"25";"TROCHILIDAE";"N";36,7;42;35,4;2,4;4,2;7;59;79,9;113,8
"26";"TROCHILIDAE";"N";16;20,6;13,6;2;3,5;5,7;63,3;77,8;116
"27";"TROCHILIDAE";"N";20;21,9;16,2;3,7;5,7;6,9;75,2;60,1;102,6
"28";"TROCHILIDAE";"N";20;25,9;17,8;2,2;4,5;5,5;56,9;47,1;74,5
"29";"TROCHILIDAE";"N";20,4;22,9;18,1;1,7;2,6;3,9;57,3;42,3;74,6
"30";"TROCHILIDAE";"N";34,6;48,9;29,9;2,1;4,4;5,1;70,2;50,1;88,7
"31";"TROCHILIDAE";"N";29,5;34,3;27,9;2,8;4;6,9;80,1;58,6;101,7
"32";"TROCHILIDAE";"N";20;23,3;19,8;2,2;2,4;5,2;46,4;33,4;70,5
"33";"TROCHILIDAE";"N";20,6;24;18,7;1,8;3,3;5,5;30,4;44,4;38,1
"34";"TROCHILIDAE";"N";15,9;21,4;14,6;1,9;3,7;4,6;49,4;42;62,7
"35";"TROCHILIDAE";"N";39,9;40,9;36,9;2,5;4,8;7,5;61,2;44,1;86,2
